title,price,star_rating,availability,category,price_gbp,rating,in_stock,price_inr
Soumission,£50.10,One,In stock,Fiction,50.1,1,True,5285.55
Private Paris (Private #10),£47.61,Five,In stock,Fiction,47.61,5,True,5022.85
"We Love You, Charlie Freeman",£50.27,Five,In stock,Fiction,50.27,5,True,5303.48
Thirst,£17.27,Five,In stock,Fiction,17.27,5,True,1821.98
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,In stock,Fiction,54.11,3,True,5708.6
Tuesday Nights in 1980,£21.04,Two,In stock,Fiction,21.04,2,True,2219.72
The Vacationers,£42.15,Four,In stock,Fiction,42.15,4,True,4446.82
The Regional Office Is Under Attack!,£51.36,Five,In stock,Fiction,51.36,5,True,5418.48
Finders Keepers (Bill Hodges Trilogy #2),£53.53,Five,In stock,Fiction,53.53,5,True,5647.42
The Time Keeper,£27.88,Five,In stock,Fiction,27.88,5,True,2941.34
The Testament of Mary,£52.67,Four,In stock,Fiction,52.67,4,True,5556.68
The First Hostage (J.B. Collins #2),£25.85,Three,In stock,Fiction,25.85,3,True,2727.18
Take Me with You,£45.21,Three,In stock,Fiction,45.21,3,True,4769.66
Still Life with Bread Crumbs,£26.41,Three,In stock,Fiction,26.41,3,True,2786.26
Shtum,£55.84,Four,In stock,Fiction,55.84,4,True,5891.12
My Name Is Lucy Barton,£41.56,One,In stock,Fiction,41.56,1,True,4384.58
My Mrs. Brown,£24.48,Three,In stock,Fiction,24.48,3,True,2582.64
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,One,In stock,Fiction,28.9,1,True,3048.95
I Am Pilgrim (Pilgrim #1),£10.60,Four,In stock,Fiction,10.6,4,True,1118.3
Eligible (The Austen Project #4),£27.09,Three,In stock,Fiction,27.09,3,True,2858.0
Eight Hundred Grapes,£14.39,Four,In stock,Fiction,14.39,4,True,1518.14
Dear Mr. Knightley,£11.21,Five,In stock,Fiction,11.21,5,True,1182.66
Cometh the Hour (The Clifton Chronicles #6),£25.01,Three,In stock,Fiction,25.01,3,True,2638.56
Balloon Animals,£17.03,Three,In stock,Fiction,17.03,3,True,1796.67
A Man Called Ove,£39.72,One,In stock,Fiction,39.72,1,True,4190.46
The Silent Sister (Riley MacPherson #1),£46.29,Five,In stock,Fiction,46.29,5,True,4883.6
The Dinner Party,£56.54,Two,In stock,Fiction,56.54,2,True,5964.97
The Improbability of Love,£59.45,One,In stock,Fiction,59.45,1,True,6271.98
Mothering Sunday,£13.34,Two,In stock,Fiction,13.34,2,True,1407.37
Lies and Other Acts of Love,£45.14,One,In stock,Fiction,45.14,1,True,4762.27
Daredevils,£16.34,Three,In stock,Fiction,16.34,3,True,1723.87
11/22/63,£48.48,Three,In stock,Fiction,48.48,3,True,5114.64
The Shack,£28.03,One,In stock,Fiction,28.03,1,True,2957.16
The High Mountains of Portugal,£51.15,One,In stock,Fiction,51.15,1,True,5396.32
Miller's Valley,£58.54,Two,In stock,Fiction,58.54,2,True,6175.97
Hystopia: A Novel,£21.96,Four,In stock,Fiction,21.96,4,True,2316.78
The Bourne Identity (Jason Bourne #1),£42.78,Four,In stock,Fiction,42.78,4,True,4513.29
Sister Dear,£40.20,Four,In stock,Fiction,40.2,4,True,4241.1
Memoirs of a Geisha,£49.67,Three,In stock,Fiction,49.67,3,True,5240.19
Me Before You (Me Before You #1),£19.02,One,In stock,Fiction,19.02,1,True,2006.61
Deception Point,£40.32,Four,In stock,Fiction,40.32,4,True,4253.76
The Little Paris Bookshop,£24.73,Three,In stock,Fiction,24.73,3,True,2609.02
The Firm,£45.56,Three,In stock,Fiction,45.56,3,True,4806.58
The Expatriates,£44.58,Two,In stock,Fiction,44.58,2,True,4703.19
Siddhartha,£34.22,Five,In stock,Fiction,34.22,5,True,3610.21
Last One Home (New Beginnings #1),£59.98,Three,In stock,Fiction,59.98,3,True,6327.89
Digital Fortress,£58.00,Five,In stock,Fiction,58.0,5,True,6119.0
Atlas Shrugged,£26.58,Five,In stock,Fiction,26.58,5,True,2804.19
