title,price,star_rating,availability,category
Soumission,£50.10,One,In stock,Fiction
Private Paris (Private #10),£47.61,Five,In stock,Fiction
"We Love You, Charlie Freeman",£50.27,Five,In stock,Fiction
Thirst,£17.27,Five,In stock,Fiction
The Murder That Never Was (Forensic Instincts #5),£54.11,Three,In stock,Fiction
Tuesday Nights in 1980,£21.04,Two,In stock,Fiction
The Vacationers,£42.15,Four,In stock,Fiction
The Regional Office Is Under Attack!,£51.36,Five,In stock,Fiction
Finders Keepers (Bill Hodges Trilogy #2),£53.53,Five,In stock,Fiction
The Time Keeper,£27.88,Five,In stock,Fiction
The Testament of Mary,£52.67,Four,In stock,Fiction
The First Hostage (J.B. Collins #2),£25.85,Three,In stock,Fiction
Take Me with You,£45.21,Three,In stock,Fiction
Still Life with Bread Crumbs,£26.41,Three,In stock,Fiction
Shtum,£55.84,Four,In stock,Fiction
My Name Is Lucy Barton,£41.56,One,In stock,Fiction
My Mrs. Brown,£24.48,Three,In stock,Fiction
Mr. Mercedes (Bill Hodges Trilogy #1),£28.90,One,In stock,Fiction
I Am Pilgrim (Pilgrim #1),£10.60,Four,In stock,Fiction
Eligible (The Austen Project #4),£27.09,Three,In stock,Fiction
Eight Hundred Grapes,£14.39,Four,In stock,Fiction
Dear Mr. Knightley,£11.21,Five,In stock,Fiction
Cometh the Hour (The Clifton Chronicles #6),£25.01,Three,In stock,Fiction
Balloon Animals,£17.03,Three,In stock,Fiction
A Man Called Ove,£39.72,One,In stock,Fiction
The Silent Sister (Riley MacPherson #1),£46.29,Five,In stock,Fiction
The Dinner Party,£56.54,Two,In stock,Fiction
The Improbability of Love,£59.45,One,In stock,Fiction
Mothering Sunday,£13.34,Two,In stock,Fiction
Lies and Other Acts of Love,£45.14,One,In stock,Fiction
Daredevils,£16.34,Three,In stock,Fiction
11/22/63,£48.48,Three,In stock,Fiction
The Shack,£28.03,One,In stock,Fiction
The High Mountains of Portugal,£51.15,One,In stock,Fiction
Miller's Valley,£58.54,Two,In stock,Fiction
Hystopia: A Novel,£21.96,Four,In stock,Fiction
The Bourne Identity (Jason Bourne #1),£42.78,Four,In stock,Fiction
Sister Dear,£40.20,Four,In stock,Fiction
Memoirs of a Geisha,£49.67,Three,In stock,Fiction
Me Before You (Me Before You #1),£19.02,One,In stock,Fiction
Deception Point,£40.32,Four,In stock,Fiction
The Little Paris Bookshop,£24.73,Three,In stock,Fiction
The Firm,£45.56,Three,In stock,Fiction
The Expatriates,£44.58,Two,In stock,Fiction
Siddhartha,£34.22,Five,In stock,Fiction
Last One Home (New Beginnings #1),£59.98,Three,In stock,Fiction
Digital Fortress,£58.00,Five,In stock,Fiction
Atlas Shrugged,£26.58,Five,In stock,Fiction
Three-Martini Lunch,£23.21,Three,In stock,Fiction
The Nightingale,£26.26,Four,In stock,Fiction
The Infinities,£27.41,One,In stock,Fiction
The Husband's Secret,£52.51,Five,In stock,Fiction
The Da Vinci Code (Robert Langdon #2),£22.96,Two,In stock,Fiction
The Art of Fielding,£22.10,One,In stock,Fiction
Lila (Gilead #3),£12.47,Three,In stock,Fiction
Jurassic Park (Jurassic Park #1),£44.97,One,In stock,Fiction
Inferno (Robert Langdon #4),£41.00,Five,In stock,Fiction
Crazy Rich Asians (Crazy Rich Asians #1),£49.13,Five,In stock,Fiction
Big Little Lies,£22.11,One,In stock,Fiction
The Course of Love,£16.78,Three,In stock,Fiction
When I'm Gone,£51.96,Three,In stock,Fiction
The Silent Wife,£12.34,Five,In stock,Fiction
The Bette Davis Club,£30.66,Three,In stock,Fiction
Kitchens of the Great Midwest,£57.20,Five,In stock,Fiction
Bright Lines,£39.07,Five,In stock,Fiction
Unicorn Tracks,£18.78,Three,In stock,Fantasy
"Saga, Volume 6 (Saga (Collected Editions) #6)",£25.02,Three,In stock,Fantasy
Princess Between Worlds (Wide-Awake Princess #5),£13.34,Five,In stock,Fantasy
Masks and Shadows,£56.40,Two,In stock,Fantasy
Crown of Midnight (Throne of Glass #2),£43.29,Three,In stock,Fantasy
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,Two,In stock,Fantasy
A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,One,In stock,Fantasy
Throne of Glass (Throne of Glass #1),£35.07,Three,In stock,Fantasy
The Glittering Court (The Glittering Court #1),£44.28,One,In stock,Fantasy
Hollow City (Miss Peregrine’s Peculiar Children #2),£42.98,One,In stock,Fantasy
The Star-Touched Queen,£46.02,Five,In stock,Fantasy
The Hidden Oracle (The Trials of Apollo #1),£52.26,Two,In stock,Fantasy
